pair_id,pair_type,side,Arms_set,deg_set,beta_deg,id_A,iq_A,is_rated,point_role
30,mirror,regen,173.8054,265.2364,94.7636,-300.0,-25.0,False,dense_cartesian
31,mirror,motoring,159.4261,-84.8056,84.8056,-275.0,25.0,False,dense_cartesian
31,mirror,regen,159.4261,264.8056,95.1944,-275.0,-25.0,False,dense_cartesian
32,mirror,motoring,145.0575,-84.2894,84.2894,-250.0,25.0,False,dense_cartesian
32,mirror,regen,145.0575,264.2894,95.7106,-250.0,-25.0,False,dense_cartesian
33,mirror,motoring,130.7032,-83.6598,83.6598,-225.0,25.0,False,dense_cartesian
33,mirror,regen,130.7032,263.6598,96.3402,-225.0,-25.0,False,dense_cartesian
34,mirror,motoring,116.3687,-82.875,82.875,-200.0,25.0,False,dense_cartesian
34,mirror,regen,116.3687,262.875,97.125,-200.0,-25.0,False,dense_cartesian
35,mirror,motoring,102.0621,-81.8699,81.8699,-175.0,25.0,False,dense_cartesian
35,mirror,regen,102.0621,261.8699,98.1301,-175.0,-25.0,False,dense_cartesian
36,mirror,motoring,87.7971,-80.5377,80.5377,-150.0,25.0,False,dense_cartesian
36,mirror,regen,87.7971,260.5377,99.4623,-150.0,-25.0,False,dense_cartesian
37,mirror,motoring,73.598,-78.6901,78.6901,-125.0,25.0,False,dense_cartesian
37,mirror,regen,73.598,258.6901,101.3099,-125.0,-25.0,False,dense_cartesian
38,mirror,motoring,59.5119,-75.9638,75.9638,-100.0,25.0,False,dense_cartesian
38,mirror,regen,59.5119,255.9638,104.0362,-100.0,-25.0,False,dense_cartesian
39,mirror,motoring,45.6435,-71.5651,71.5651,-75.0,25.0,False,dense_cartesian
39,mirror,regen,45.6435,251.5651,108.4349,-75.0,-25.0,False,dense_cartesian
40,mirror,motoring,32.2749,-63.4349,63.4349,-50.0,25.0,False,dense_cartesian
40,mirror,regen,32.2749,243.4349,116.5651,-50.0,-25.0,False,dense_cartesian
41,mirror,motoring,20.4124,-45.0,45.0,-25.0,25.0,False,dense_cartesian
41,mirror,regen,20.4124,225.0,135.0,-25.0,-25.0,False,dense_cartesian
42,mirror,motoring,14.4338,0.0,0.0,0.0,25.0,False,dense_cartesian
42,mirror,regen,14.4338,180.0,180.0,0.0,-25.0,False,dense_cartesian
43,mirror,motoring,20.4124,45.0,-45.0,25.0,25.0,False,dense_cartesian
43,mirror,regen,20.4124,135.0,225.0,25.0,-25.0,False,dense_cartesian
44,mirror,motoring,32.2749,63.4349,-63.4349,50.0,25.0,False,dense_cartesian
44,mirror,regen,32.2749,116.5651,243.4349,50.0,-25.0,False,dense_cartesian
45,mirror,motoring,45.6435,71.5651,-71.5651,75.0,25.0,False,dense_cartesian
45,mirror,regen,45.6435,108.4349,251.5651,75.0,-25.0,False,dense_cartesian
46,mirror,motoring,59.5119,75.9638,-75.9638,100.0,25.0,False,dense_cartesian
46,mirror,regen,59.5119,104.0362,255.9638,100.0,-25.0,False,dense_cartesian
47,mirror,motoring,73.598,78.6901,-78.6901,125.0,25.0,False,dense_cartesian
47,mirror,regen,73.598,101.3099,258.6901,125.0,-25.0,False,dense_cartesian
48,mirror,motoring,87.7971,80.5377,-80.5377,150.0,25.0,False,dense_cartesian
48,mirror,regen,87.7971,99.4623,260.5377,150.0,-25.0,False,dense_cartesian
49,mirror,motoring,102.0621,81.8699,-81.8699,175.0,25.0,False,dense_cartesian
49,mirror,regen,102.0621,98.1301,261.8699,175.0,-25.0,False,dense_cartesian
50,mirror,motoring,116.3687,82.875,-82.875,200.0,25.0,False,dense_cartesian
50,mirror,regen,116.3687,97.125,262.875,200.0,-25.0,False,dense_cartesian
51,mirror,motoring,130.7032,83.6598,-83.6598,225.0,25.0,False,dense_cartesian
51,mirror,regen,130.7032,96.3402,263.6598,225.0,-25.0,False,dense_cartesian
52,mirror,motoring,145.0575,84.2894,-84.2894,250.0,25.0,False,dense_cartesian
52,mirror,regen,145.0575,95.7106,264.2894,250.0,-25.0,False,dense_cartesian
53,mirror,motoring,159.4261,84.8056,-84.8056,275.0,25.0,False,dense_cartesian
53,mirror,regen,159.4261,95.1944,264.8056,275.0,-25.0,False,dense_cartesian
54,mirror,motoring,173.8054,85.2364,-85.2364,300.0,25.0,False,dense_cartesian
54,mirror,regen,173.8054,94.7636,265.2364,300.0,-25.0,False,dense_cartesian
55,mirror,motoring,188.1932,85.6013,-85.6013,325.0,25.0,False,dense_cartesian
55,mirror,regen,188.1932,94.3987,265.6013,325.0,-25.0,False,dense_cartesian
56,mirror,motoring,202.5874,85.9144,-85.9144,350.0,25.0,False,dense_cartesian
